phase,source_url,destination_url,anchor_text,link_context,http_status,final_url,chain_length,verification,rel,recommended_action
baseline,https://typescript.robertdevore.com/lessons/runtime-validation/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/library-design/,https://www.typescriptlang.org/docs/handbook/2/functions.html,More on functions,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/functions.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/library-design/,https://www.typescriptlang.org/docs/handbook/declaration-files/do-s-and-don-ts.html,declaration do's and don'ts,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/declaration-files/do-s-and-don-ts.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/library-design/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/library-design/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,https://www.typescriptlang.org/docs/handbook/2/template-literal-types.html,Template literal types,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/template-literal-types.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/template-literal-types/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,https://www.typescriptlang.org/tsconfig/,TSConfig reference,HTML anchor,200,https://www.typescriptlang.org/tsconfig/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,TypeScript 7 changes,HTML anchor,200,https://devblogs.microsoft.com/typescript/announcing-typescript-7-0/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/tsconfig/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,Everyday types,HTML anchor,200,https://www.typescriptlang.org/docs/handbook/2/everyday-types.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,https://tc39.es/ecma262/,ECMAScript language specification,HTML anchor,200,https://tc39.es/ecma262/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/values-and-types/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/async/,https://nodejs.org/docs/latest-v24.x/api/timers.html,Node timers and AbortSignal,HTML anchor,200,https://nodejs.org/docs/latest-v24.x/api/timers.html,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/async/,https://tc39.es/ecma262/,ECMAScript promises,HTML anchor,200,https://tc39.es/ecma262/,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/async/,https://robertdevore.com,Robert DeVore,HTML anchor,200,https://robertdevore.com,not captured; final URL only,reachable,,
baseline,https://typescript.robertdevore.com/lessons/async/,https://github.com/robertdevore/typescript.robertdevore.com,Source code,HTML anchor,200,https://github.com/robertdevore/typescript.robertdevore.com,not captured; final URL only,reachable,,
