phase,page_url,image_url,alt_text,alt_present,decorative,width,height,loading,format,local_exists,file_bytes,issues
after,https://typescript.robertdevore.com/lessons/exhaustiveness/,https://typescript.robertdevore.com/assets/og/exhaustiveness.png,Discriminated unions & exhaustiveness — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,344908,
after,https://typescript.robertdevore.com/lessons/functions/,https://typescript.robertdevore.com/assets/og/functions.png,Functions & callbacks — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,341763,
after,https://typescript.robertdevore.com/lessons/errors-and-null/,https://typescript.robertdevore.com/assets/og/errors-and-null.png,Errors & nullable values — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342467,
after,https://typescript.robertdevore.com/lessons/narrowing/,https://typescript.robertdevore.com/assets/og/narrowing.png,"Unions, literals & narrowing — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,342111,
after,https://typescript.robertdevore.com/lessons/advanced-design/,https://typescript.robertdevore.com/assets/og/advanced-design.png,Practical advanced types — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,345718,
after,https://typescript.robertdevore.com/lessons/performance/,https://typescript.robertdevore.com/assets/og/performance.png,Compiler & editor performance — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342676,
after,https://typescript.robertdevore.com/lessons/modules/,https://typescript.robertdevore.com/assets/og/modules.png,"ESM, CommonJS & module resolution — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,342623,
after,https://typescript.robertdevore.com/lessons/keyof-typeof-indexed-access/,https://typescript.robertdevore.com/assets/og/keyof-typeof-indexed-access.png,"keyof, typeof & indexed access — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,344840,
after,https://typescript.robertdevore.com/lessons/static-analysis/,https://typescript.robertdevore.com/assets/og/static-analysis.png,"Linting, formatting & static analysis — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,344773,
after,https://typescript.robertdevore.com/lessons/conditional-types/,https://typescript.robertdevore.com/assets/og/conditional-types.png,Conditional types & infer — TypeScript Course,True,False,1200,630,not in page viewport,.png,True,342019,
after,https://typescript.robertdevore.com/lessons/any-unknown-never-void/,https://typescript.robertdevore.com/assets/og/any-unknown-never-void.png,"any, unknown, never & void — TypeScript Course",True,False,1200,630,not in page viewport,.png,True,348519,
after,https://typescript.robertdevore.com/reference/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
after,https://typescript.robertdevore.com/404/,https://typescript.robertdevore.com/assets/social.png,TypeScript Course: Learn TypeScript. Build apps and libraries.,True,False,1200,630,not in page viewport,.png,True,26190,
